-32.74335628491281: [{18=19}]
-41.88322413476999: [{37=39}]
-49.489157927771885: [{31=39}]
-50.572270787475645: [{6=7}]
-51.08879691282891: [{38=39}]
-51.25718762408724: [{18=28}]
-61.312348779396416: [{21=40}]
-63.169853505734864: [{6=23}]
-83.55983711188128: [{22=39}]
-104.87088774881886: [{18=20}]
-128.48173932825375: [{39=40}]
